Event	Country	Cancellation Note	Website
Albert College junior parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/albertcollege-juniors
Albert parkrun, Melbourne	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/albertmelbourne
Alberton Ascot parkrun	Australia	Due to current COVID-19 restrictions	
Alberts Farm parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/albertsfarm
Albury Wodonga parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/alburywodonga
Alexandra junior parkrun, Oldham	United Kingdom	Establishing an event team	https://www.parkrun.org.uk/alexandra-juniors
Altcourse parkrun	United Kingdom	COVID-19 (Coronavirus)	
Altona Beach parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/altonabeach
An Bonnán Buí parkrun	Ireland	COVID-19 (Coronavirus)	
Anderson parkrun	New Zealand	Due to current COVID-19 restrictions	https://www.parkrun.co.nz/anderson
Angrignon parkrun	Canada	COVID-19 (Coronavirus)	https://www.parkrun.ca/angrignon
Appleton Thorn parkrun	United Kingdom	COVID-19 (Coronavirus)	
Ararat parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/ararat
Armidale parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/armidale
Atholl parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/atholl
Atlasville parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/atlasville
Aurora parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/aurora
Avery Beach parkrun, Huntsville	Canada	COVID-19 (Coronavirus)	https://www.parkrun.ca/averybeach
Avondale University College parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/avondaleuniversitycollege
Badhusparken parkrun	Sweden	COVID-19 (Coronavirus)	https://www.parkrun.se/badhusparken
Bairnsdale parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/bairnsdale
Bakewell parkrun	United Kingdom	Venue not yet available	https://www.parkrun.org.uk/bakewell
Balbriggan junior parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/balbriggan-juniors
Balclutha parkrun	New Zealand	Due to current COVID-19 restrictions	https://www.parkrun.co.nz/balclutha
Ballarat parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/ballarat
Ballina Coast parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/ballinacoast
Ballina junior parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/ballina-juniors
Ballincollig Regional junior parkrun	Ireland	Event not available	https://www.parkrun.ie/ballincolligregional-juniors
Ballito parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/ballito
Ballyogan junior parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/ballyogan-juniors
Balyang Sanctuary parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/balyangsanctuary
Bambra Bolinda parkrun	Australia	Due to current COVID-19 restrictions	
Bannockburn Bush parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/bannockburnbush
Barry Curtis parkrun	New Zealand	Due to current COVID-19 restrictions	https://www.parkrun.co.nz/barrycurtis
Barshaw junior parkrun	United Kingdom	Establishing an event team	https://www.parkrun.org.uk/barshaw-juniors
Batemans Bay parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/batemansbay
Bathurst parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/bathurst
Bear Brook parkrun	United Kingdom	COVID-19 (Coronavirus)	
Bedok Reservoir parkrun	Singapore	COVID-19 (Coronavirus)	https://www.parkrun.sg/bedokreservoir
Bega parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/bega
Bellevue parkrun	Canada	COVID-19 (Coronavirus)	https://www.parkrun.ca/bellevue
Belloluogo parkrun	Italy	COVID-19 (Coronavirus)	https://www.parkrun.it/belloluogo
Bells Inn parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bellsinn
Bellville parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bellville
Benalla Botanical Gardens parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/benallabotanicalgardens
Bendigo Botanic Gardens parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/bendigobotanicgardens
Berwick Springs parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/berwicksprings
Berwick Waters parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/berwickwaters
Bezuidenhout parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bezuidenhout
Bickershaw parkrun	United Kingdom	COVID-19 (Coronavirus)	
Big Bay parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bigbay
Bill Rose Sports Complex parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/billrosesportscomplex
Birches Valley junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/birchesvalley-juniors
Birdsland Reserve parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/birdslandreserve
Bishan parkrun	Singapore	COVID-19 (Coronavirus)	https://www.parkrun.sg/bishan
Blackbutt parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/blackbutt
Blenheim parkrun	New Zealand	Due to current COVID-19 restrictions	https://www.parkrun.co.nz/blenheim
Bloemhof parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bloemhof
Blue Gum Hills parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/bluegumhills
Blue Lagoon parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bluelagoon
Boksburg parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/boksburg
Bosmont Stadium parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bosmontstadium
Botanical Garden parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/botanicalgarden
