County	Country	parkrunning	junior parkrunning	5k Cancellations	junior Cancellations	Total	5k Events Running	junior Events Running	5k Events Cancelled	junior Events Cancelled
Aberdeen City	Scotland		1	2		3		Duthie juniors|	Aberdeen|Hazlehead|	
Aberdeenshire	Scotland	3	2	1		6	Stonehaven|Ellon|Crathes Castle|	Gordon Park juniors|Kellands Park juniors|	Ury Riverside|	
Angus	Scotland	2		1		3	Montrose|Forfar Loch|		West Links|	
Antrim	Northern Ireland		4	9	1	14		Jordanstown juniors|Portrush juniors|Larne juniors|Riverside juniors, Ballymoney|	Ecos|Portrush|Wallace|Antrim|Larne|Carrickfergus|Valley|Sixmilewater|Limepark Playing Fields|	Antrim Castle Gardens juniors|
Argyll and Bute	Scotland	1		2		3	Ganavan Sands|		Mount Stuart|Crinan Canal|	
Armagh	Northern Ireland			2	1	3			Citypark|Armagh|	Lurgan juniors|
Bedfordshire	England	1	3	6	2	12	Houghton Hall|	Houghton Hall juniors|Wardown juniors|Great Denham juniors|	Luton Wardown|Bedford|Great Denham|Dunstable Downs|Millennium Country|Henlow Bridge Lakes|	Bedford juniors|Leighton Buzzard juniors|
Belfast	Northern Ireland		2	9	2	13		Belfast Victoria juniors|Belfast YMCA juniors|	Waterworks|Belfast Victoria|Queen’s, Belfast|Falls|Ormeau|Stormont|Colin Glen|Orangefield|Paisley Park|	Waterworks juniors|Musgrave juniors|
Berkshire	England	5	1	5	5	16	Woodley|Upton Court|Dinton Pastures|California Country|Sandhurst Memorial|	Ockwells juniors|	Reading|Newbury|Bracknell|Maidenhead|Prospect|	Bracknell juniors|Woodley juniors|Salt Hill juniors|Dinton Pastures juniors|Prospect juniors|
Bristol	England		3	2	2	7		Eastville juniors|Windmill Hill juniors|Horfield Common juniors|	Eastville|Blaise Castle|	Kings Weston juniors|Greville Smyth Park juniors|
Buckinghamshire	England	5	2	6	2	15	Milton Keynes|Wycombe Rye|Buckingham|Wendover Woods|Bury Field|	Wycombe Rye juniors|Milton Keynes juniors|	Black Park|Linford Wood|Aylesbury|Rushmere|Higginson, Marlow|Church Mead|	Aylesbury juniors|Buckingham juniors|
Cambridgeshire	England	1	2	13	10	26	Ferry Meadows|	Central Park juniors|Bretton Park juniors|	Milton Country|Wimpole Estate|Huntingdon|March|Pocket|Littleport|Manor Field, Whittlesey|Coldham’s Common|Soham Village College|Fulbourn Hospital|Storeys Field|Wisbech|Bug Hunter Waters|	Jubilee juniors|Cambridge juniors|Wimpole Estate juniors|Wisbech juniors|Riverside juniors, St Neots|Coldham’s Common juniors|West End juniors|Cambourne juniors|Ely Country juniors|Cottenham Recreation Ground juniors|
Carlow	Ireland			1		1			Carlow Town|	
Cavan	Ireland	1		3		4	Edwin Carolan Community|		Cootehill|Deerpark Forest|Con Smith|	
Cheshire	England	1	5	12	3	21	Wilmslow|	Widnes juniors|Wilmslow juniors|Warrington juniors|Victoria juniors, Macclesfield|Phoenix juniors|	Phoenix|Warrington|Congleton|Chester|Delamere|Lyme Park|Ellesmere Port|Widnes|Crewe|Macclesfield|Northwich|Alderley Park|	The Wirral Way juniors|Gardenhurst Estate juniors|Queens Park juniors, Crewe|
Clare	Ireland	1		3		4	Illaunmanagh|		Clarisford|Lees Road|Vandeleur|	
Clwyd	Wales			7	4	11			Conwy|Wepre|Erddig|Nova Prestatyn|Greenfield Valley|Ruthin Memorial Playing Fields|Old Railway Trail, Llangollen|	Alyn Waters juniors|Prestatyn Prom juniors|Conwy Nature Reserve juniors|Wepre juniors|
Cork	Ireland	8	8	2		18	Clonakilty|Macroom Castle Demesne|Bere Island|Tramore Valley|Glengarriff|Castlehaven|Ballincollig|Glen River|	Cobh juniors|Ballincollig Regional juniors|St Mary’s Campus juniors|Nursery Drive juniors|Mallow Castle juniors|Clashduv juniors|Dromlena Lawn juniors|Haulbowline Island juniors|	Mallow Castle|Pobalscoil na Tríonóide|	
Cornwall	England			9	3	12			Trelissick|Eden Project|Lanhydrock|Tamar Lakes|Penrose|Mount Edgcumbe|Heartlands|Land’s End|Penryn Campus|	Bodmin juniors|Par Track juniors|Bude Marshes juniors|
County Kilkenny	Ireland				1	1				Kilkenny Countryside Park juniors|
County Tipperary	Ireland				1	1				Fethard juniors|
County Westmeath	Ireland			1		1			Athlone RSC|	
