County	parkrunning	junior parkrunning	5k Cancellations	junior Cancellations	Total	5k Events Running	junior Events Running	5k Events Cancelled	junior Events Cancelled
Carlow	1				1	Carlow Town|			
Cavan	2		1		3	Cootehill|Edwin Carolan Community|		Deerpark Forest|	
Cavank	1				1	Con Smith|			
Clare	4				4	Clarisford|Lees Road|Vandeleur|Illaunmanagh|			
Co Kerry	1				1	Fenit Greenway|			
Cork	9	1	1	7	18	Clonakilty|Macroom Castle Demesne|Bere Island|Tramore Valley|Castlehaven|Ballincollig|Glen River|Mallow Castle|Pobalscoil na Tríonóide|	St Mary’s Campus juniors|	Glengarriff|	Cobh juniors|Ballincollig Regional juniors|Nursery Drive juniors|Mallow Castle juniors|Clashduv juniors|Dromlena Lawn juniors|Haulbowline Island juniors|
Donegal	4		1		5	Falcarragh|Dungloe|Buncrana|Narin Beach|		Letterkenny|	
Dublin	24	13			37	Malahide|Marlay|Griffeen|St Anne’s|Ardgillan|Tymon|Waterstown|Poppintree|Hartstown|Shanganagh|Cabinteely|Father Collins|Donabate|Porterstown|River Valley|Bushy, Dublin|Fairview|Corkagh|Poolbeg|Darndale|Tolka Valley|Brickfields|Sport Ireland Campus|Dodder Valley|	Rush juniors|Albert College juniors|St Anne’s juniors|Balbriggan juniors|Deerpark juniors|Marlay juniors|Griffeen juniors|Malahide Castle juniors|Rockfield juniors|Cherry Orchard juniors|Beechpark juniors|Ringsend juniors|Mellowes Park juniors|		
Fingal		3			3		Lusk Sports Hub juniors|River Valley juniors|Newbridge House juniors|		
Galway	8			2	10	Knocknacarra|Oranmore|Oughterard|Portumna|Clonbur Woods|Coole|Mountbellew Forest|Inis Meáin|			Oranmore juniors|Westside Playing Fields juniors|
Galway City	1				1	University of Galway|			
Kerry	4	1		1	6	Tralee|Listowel|Inch Beach|Killarney House|	Tralee juniors|		Killarney House juniors|
Kildare	2		1		3	Naas|Royal Canal, Kilcock|		Castletown|	
Kilkenny	1				1	Kilkenny|			
Laois	1	1		1	3	Vicarstown|	Vicarstown juniors|		St Fergal’s College juniors|
Leitrim	1				1	Ballinamore Greenway|			
Limerick	3			1	4	Limerick|Newcastle West|Mungret|			Shelbourne juniors|
Longford	1			1	2	Longford|			Longford juniors|
Louth	1	1			2	Dundalk|	Dundalk IT juniors|		
Mayo	6				6	Westport|Castlebar|Ballina|Erris|Claremorris|Achill Greenway|			
Meath	4				4	Navan|Oldbridge|Deerpark, Carlanstown|Porch Field|			
Monaghan	2				2	Castleblayney|Monaghan Town|			
Offaly	2				2	Mountlucas|The Grand Canal Way|			
Roscommon	3	1			4	Lough Key|Castlerea|Strokestown|	Lough Key juniors|		
Sligo	1				1	Sligo|			
Tipperary	5				5	Templemore|Clonmel|Knockanacree Woods|Borrisokane Town|Fethard Town|			
Waterford	2				2	Tramore|SETU Arena|			
Westmeath	2	1			3	Athlone|Mullingar|	The Old Rail Trail juniors|		
Wexford	3	1			4	Wexford Racecourse|New Ross|Gorey|	Heritage Park juniors|		
Wicklow	3	1		1	5	Russborough|Tullow|Avondale Forest|	Bray juniors|		Arklow Duck Pond juniors|
Total	102	24	4	14	144				
