County	parkrunning	junior parkrunning	5k Cancellations	junior Cancellations	Total	5k Events Running	junior Events Running	5k Events Cancelled	junior Events Cancelled
Antrim	6	5	3		14	Ecos|Portrush|Larne|Carrickfergus|Valley|Limepark Playing Fields|	Jordanstown juniors|Portrush juniors|Larne juniors|Riverside juniors, Ballymoney|Antrim Castle Gardens juniors|	Wallace|Antrim|Sixmilewater|	
Armagh	2			1	3	Citypark|Armagh|			Lurgan juniors|
Belfast	7	4	2		13	Waterworks|Belfast Victoria|Queen’s, Belfast|Falls|Colin Glen|Orangefield|Paisley Park|	Belfast Victoria juniors|Waterworks juniors|Musgrave juniors|Belfast YMCA juniors|	Ormeau|Stormont|	
Derry	3	1	1	1	6	Derry City|Limavady|Garvagh Forest|	Magherafelt juniors|	Derrynoid Forest|	Derry City juniors|
Down	6	4	2		12	Rostrevor|Bangor|Comber|Crawfordsburn Country|Knockbracken Reservoir|Dunleath Playing Fields|	Comber juniors|Moira juniors|Bangor juniors|Lough Moss juniors|	Castlewellan|Hillsborough Forest|	
Fermanagh	1	1			2	Enniskillen|	Broadmeadow juniors|		
Mid Ulster			1		1			The Fisherman‘s Walk|	
Newry Mourne and Down	1				1	Montalto Estate|			
Tyrone	4	3			7	MUSA Cookstown|Omagh|Dungannon Park|Holy Cross College|	Omagh Leisure Complex juniors|Washingbay Wetlands juniors|Round Lake juniors|		
Total	30	18	9	2	59				
