County	parkrunning	junior parkrunning	5k Cancellations	junior Cancellations	Total	5k Events Running	junior Events Running	5k Events Cancelled	junior Events Cancelled
Aberdeen City		1	2		3		Duthie juniors|	Aberdeen|Hazlehead|	
Aberdeenshire	2	2	2		6	Stonehaven|Ellon|	Gordon Park juniors|Kellands Park juniors|	Crathes Castle|Ury Riverside|	
Angus	3				3	Montrose|West Links|Forfar Loch|			
Argyll and Bute	1		2		3	Crinan Canal|		Ganavan Sands|Mount Stuart|	
Dumfries and Galloway	2	1	1		4	Crichton|Agnew|	Dumfries juniors|	Carlingwark Loch|	
Dundee City	1	1			2	Camperdown|	Baxter Park juniors|		
East Ayrshire			1		1			Dean Castle Country Park|	
East Lothian	1	1	2		4	Whitekirk Hill|	Archerfield Walled Garden juniors|	Meadowmill|Lochend Woods|	
East Renfrewshire		1			1		Rouken Glen juniors|		
Edinburgh		2	4		6		The Meadows juniors|Inverleith juniors|	Edinburgh|Portobello|Oriam|Holyrood|	
Falkirk	1	1			2	Falkirk|	Helix juniors|		
Fife		2	4	1	7		Duloch juniors|Fife Cycle Park juniors|	St Andrews|Kirkcaldy|Dunfermline|Lochore Meadows|	Cotlands Park juniors|
Glasgow City		3	8	1	12		Victoria juniors, Glasgow|Elder Park juniors|Springburn juniors|	Pollok|Tollcross|Victoria|Ruchill|Springburn|Drumchapel|Queen’s, Glasgow|Elder Park|	King’s Park juniors|
Highland	1		5	2	8	Fort William|		Aviemore|Alness|Thurso|Torvean|Skinadin|	Torvean juniors|Millbank Boating Pond juniors|
Inverclyde	1	1			2	Greenock|	Battery Park juniors|		
Midlothian			1		1			Vogrie|	
Moray			1	1	2			Elgin|	Cooper Park juniors|
North Ayrshire	1	1	1		3	Largs Prom|	Jacks Road juniors|	Eglinton|	
North Lanarkshire		1	3		4		Drumpellier juniors|	Strathclyde|Drumpellier Country|Palacerigg Country|	
Orkney Islands			1		1			Kirkwall|	
Perth and Kinross	2	3	1		6	Loch Leven|Faskally Forest|	Loch Leven juniors|Perth juniors|MacRosty juniors|	Perth|	
Renfrewshire			2	1	3			Linwood|Erskine Waterfront|	Barshaw juniors|
Scottish Borders	1	1	1		3	Wallaceneuk|	Eyemouth Primary Playing Fields juniors|	Hay Lodge|	
Shetland Islands			1		1			Bressay|	
South Ayrshire	3	1			4	Troon|Ayr|Girvan Prom|	Prestwick Oval juniors|		
South Lanarkshire	1			1	2	Lanark Moor|			Strathaven juniors|
Stirling		1	2		3		Stirling juniors|	Plean|University of Stirling|	
West Dunbartonshire			1	1	2			Levengrove|	Levengrove juniors|
West Lothian		1	3	1	5		West Lothian Cycle Circuit juniors|	Livingston|Polkemmet Country|Auldcathie District|	Bankton Mains Park juniors|
Western Isles			1		1			Lews Castle|	
Total	21	25	50	9	105				
