Event	Latitude	Longitude	Country	State	County	Status	Cancellations	Website
Aachener Weiher parkrun	50.934298	6.927553	Germany	North Rhine-Westphalia	Cologne District	parkrunning	[]	https://www.parkrun.com.de/aachenerweiher
Aberbeeg parkrun	51.711165	-3.144286	United Kingdom	Wales	Blaenau Gwent	parkrunning	[]	https://www.parkrun.org.uk/aberbeeg
Aberdare parkrun	51.718796	-3.460089	United Kingdom	Wales	Rhondda Cynon Taf	parkrunning	[]	https://www.parkrun.org.uk/aberdare
Aberdeen parkrun	57.173898	-2.086256	United Kingdom	Scotland	Aberdeen City	parkrunning	[]	https://www.parkrun.org.uk/aberdeen
Aberystwyth junior parkrun	52.412885	-4.078402	United Kingdom	Wales	Ceredigion	junior parkrunning	[]	https://www.parkrun.org.uk/aberystwyth-juniors
Aberystwyth parkrun	52.414546	-4.080401	United Kingdom	Wales	Ceredigion	parkrunning	[]	https://www.parkrun.org.uk/aberystwyth
Abingdon parkrun	51.667957	-1.277429	United Kingdom	England	Oxfordshire	parkrunning	[]	https://www.parkrun.org.uk/abingdon
Achill Greenway parkrun	53.935862	-9.915749	Ireland	Connaught	Mayo	parkrunning	[]	https://www.parkrun.ie/achillgreenway
Acton junior parkrun	51.507905	-0.258062	United Kingdom	England	Greater London	junior parkrunning	[]	https://www.parkrun.org.uk/acton-juniors
Aggeneys parkrun	-29.230412	18.845229	South Africa	Northern Cape	Namakwa District Municipality	parkrunning	[]	https://www.parkrun.co.za/aggeneys
Agnew parkrun	54.908188	-5.0349	United Kingdom	Scotland	Dumfries and Galloway	parkrunning	[]	https://www.parkrun.org.uk/agnew
Airlie Beach parkrun	-20.267153	148.711122	Australia	Queensland	Whitsunday	parkrunning	[]	https://www.parkrun.com.au/airliebeach
Albert College junior parkrun	53.38333	-6.261935	Ireland	Leinster	Dublin	junior parkrunning	[]	https://www.parkrun.ie/albertcollege-juniors
Albert parkrun, Melbourne	-37.843521	144.96312	Australia	Victoria	Port Phillip	parkrunning	[]	https://www.parkrun.com.au/albertmelbourne
Albert parkrun, Middlesbrough	54.564972	-1.231788	United Kingdom	England	Middlesbrough	parkrunning	[]	https://www.parkrun.org.uk/albert
Alberts Farm parkrun	-26.161115	27.968273	South Africa	Gauteng	City of Johannesburg Metropolitan Municipality	parkrunning	[]	https://www.parkrun.co.za/albertsfarm
Albury Wodonga parkrun	-36.0873	146.88886	Australia	New South Wales	Albury Municipality	parkrunning	[]	https://www.parkrun.com.au/alburywodonga
Aldenham parkrun	51.647953	-0.316507	United Kingdom	England	Hertfordshire	parkrunning	[]	https://www.parkrun.org.uk/aldenham
Alderford Lake parkrun	52.953181	-2.675436	United Kingdom	England	Shropshire	parkrunning	[]	https://www.parkrun.org.uk/alderfordlake
Alderman Kneeshaw junior parkrun	53.769454	-0.262291	United Kingdom	England	Kingston upon Hull	junior parkrunning	[]	https://www.parkrun.org.uk/aldermankneeshaw-juniors
Aldinga Beach parkrun	-35.287768	138.444983	Australia	South Australia	Onkaparinga	parkrunning	[]	https://www.parkrun.com.au/aldingabeach
Alexandra junior parkrun, Moss Side	53.450725	-2.248631	United Kingdom	England	Manchester	junior parkrunning	[]	https://www.parkrun.org.uk/alexandramossside-juniors
Alexandra parkrun, Moss Side	53.450142	-2.248827	United Kingdom	England	Manchester	parkrunning	[]	https://www.parkrun.org.uk/alexandra
Alice Campus parkrun, University of Fort Hare	-32.788121	26.848026	South Africa	Eastern Cape	Amathole District Municipality	parkrunning	[]	https://www.parkrun.co.za/alicecampus
Alice Holt parkrun	51.168607	-0.83814	United Kingdom	England	Hampshire	parkrunning	[]	https://www.parkrun.org.uk/aliceholt
Allerpark parkrun	52.435226	10.817604	Germany	Lower Saxony	Wolfsburg	parkrunning	[]	https://www.parkrun.com.de/allerpark
Ally Pally parkrun	51.595936	-0.12233	United Kingdom	England	Greater London	parkrunning	[]	https://www.parkrun.org.uk/allypally
Alness parkrun	57.694306	-4.256669	United Kingdom	Scotland	Highland	parkrunning	[]	https://www.parkrun.org.uk/alness
Alstervorland parkrun	53.573708	10.002464	Germany	Hamburg		parkrunning	[]	https://www.parkrun.com.de/alstervorland
Alton Water parkrun	51.974806	1.134021	United Kingdom	England	Suffolk	parkrunning	[]	https://www.parkrun.org.uk/altonwater
Altona Beach parkrun	-37.875236	144.811911	Australia	Victoria	Hobsons Bay	parkrunning	[]	https://www.parkrun.com.au/altonabeach
Alvaston parkrun	52.906173	-1.440173	United Kingdom	England	Derby	parkrunning	[]	https://www.parkrun.org.uk/alvaston
Alyn Waters junior parkrun	53.083926	-3.018039	United Kingdom	Wales	Wrexham	junior parkrunning	[]	https://www.parkrun.org.uk/alynwaters-juniors
Amager Fælled parkrun	55.653057	12.575108	Denmark	Capital Region	Copenhagen	parkrunning	[]	https://www.parkrun.dk/amager
Amager Strandpark parkrun	55.662538	12.635341	Denmark	Capital Region		parkrunning	[]	https://www.parkrun.dk/amagerstrandpark
Amanzimtoti parkrun	-30.049276	30.890567	South Africa	KwaZulu-Natal	eThekwini Metropolitan Municipality	parkrunning	[]	https://www.parkrun.co.za/amanzimtoti
Amsterdamse Bos parkrun	52.325634	4.855931	Netherlands	North Holland	Amstelveen	parkrunning	[]	https://www.parkrun.co.nl/amsterdamsebos
Anacostia parkrun	38.868085	-76.995023	USA	Washington, D.C.	Washington	parkrunning	[]	https://www.parkrun.us/anacostia
Ancholme Valley Way parkrun	53.553676	-0.496441	United Kingdom	England	North Lincolnshire	parkrunning	[]	https://www.parkrun.org.uk/ancholmevalleyway
Anchorsholme junior parkrun	53.870192	-3.045723	United Kingdom	England	Blackpool	junior parkrunning	[]	https://www.parkrun.org.uk/anchorsholme-juniors
Anderson parkrun	-39.522869	176.864169	New Zealand	Hawke's Bay	Napier City	parkrunning	[]	https://www.parkrun.co.nz/anderson
Andover junior parkrun	51.220901	-1.504812	United Kingdom	England	Hampshire	junior parkrunning	[]	https://www.parkrun.org.uk/andover-juniors
Andover parkrun	51.221092	-1.512766	United Kingdom	England	Hampshire	parkrunning	[]	https://www.parkrun.org.uk/andover
Anstey Hill Recreation parkrun	-34.825885	138.728048	Australia	South Australia	Tea Tree Gully	parkrunning	[]	https://www.parkrun.com.au/ansteyhillrecreation
Antrim parkrun	54.717078	-6.238818	United Kingdom	Northern Ireland	Antrim	parkrunning	[]	https://www.parkrun.org.uk/antrim
Aplins Weir parkrun	-19.302328	146.782361	Australia	Queensland	Townsville	parkrunning	[]	https://www.parkrun.com.au/aplinsweir
Applecross parkrun	-32.006932	115.834885	Australia	Western Australia	Melville	parkrunning	[]	https://www.parkrun.com.au/applecross
Ararat parkrun	-37.279712	142.928756	Australia	Victoria	Ararat	parkrunning	[]	https://www.parkrun.com.au/ararat
Archerfield Walled Garden junior parkrun	56.045433	-2.802062	United Kingdom	Scotland	East Lothian	junior Cancellation	[{'DateCancelled': '2022-05-15', 'ReasonCancelled': 'Annual Reverse Retts Charity 1km, 5km, 10km.'}]	https://www.parkrun.org.uk/archerfieldwalledgarden-juniors
