id,eventname,EventLongName,EventShortName,LocalisedEventLongName,countrycode,seriesid,EventLocation,Latitude,Longitude
1,bushy,Bushy parkrun,Bushy Park,,97,1,"Bushy Park, Teddington",51.410992,-0.335791
2,wimbledon,Wimbledon Common parkrun,Wimbledon Common,,97,1,Wimbledon Common,51.442078,-0.232215
3,banstead,Banstead Woods parkrun,Banstead Woods,,97,1,"Banstead Woods, Coulsdon",51.307648,-0.184225
4,richmond,Richmond parkrun,Richmond Park,,97,1,"Richmond Park, Richmond upon Thames",51.451962,-0.292886
5,woodhousemoor,Woodhouse Moor parkrun,Woodhouse Moor,,97,1,"Woodhouse Moor, Leeds",53.808582,-1.560059
6,bramhall,Bramhall parkrun,Bramhall Park,,97,1,"Bramhall Park, near Stockport",53.374268,-2.160702
8,brighton,Brighton & Hove parkrun,Brighton & Hove,,97,1,"Hove Park, Brighton",50.84214,-0.172498
9,cardiff,Cardiff parkrun,Cardiff,,97,1,Cardiff Blackweir,51.49736,-3.207107
10,albert,"Albert parkrun, Middlesbrough",Albert,,97,1,"Albert Park, Middlesbrough",54.564972,-1.231788
11,basingstoke,Basingstoke parkrun,Basingstoke,,97,1,Basingstoke War Memorial Park,51.258831,-1.082035
12,pollok,"Pollok parkrun, Glasgow",Pollok,,97,1,"Pollok Park, Glasgow",55.82992,-4.307882
13,amager,Amager Fælled parkrun,Amager Fælled,,23,1,"Amager Fælled, København",55.653057,12.575108
14,gorleston,Gorleston Cliffs parkrun,Gorleston,,97,1,Gorleston Cliffs Promenade,52.567806,1.73069
15,bedfont,Bedfont Lakes parkrun,Bedfont Lakes,,97,1,Bedfont Lakes Country Park,51.440762,-0.451523
18,heaton,Heaton parkrun,Heaton Park,,97,1,"Heaton Park, Manchester",53.531975,-2.256263
19,roundshaw,Roundshaw Downs parkrun,Roundshaw Downs,,97,1,"Roundshaw Downs, near South Croydon",51.352253,-0.11872
20,reading,Reading parkrun,Reading,,97,1,"Thames Riverside, Reading",51.460384,-0.941573
21,woodbank,Woodbank parkrun,Woodbank,,97,1,"Woodbank Park, Stockport",53.408405,-2.130945
22,blackpark,Black Park parkrun,Black Park,,97,1,"Black Park Country Park, Slough",51.540329,-0.5476
