Date	Event	Region	Country	Cancellation Note
2021-09-25	Achill Greenway parkrun	Ireland	Ireland	COVID-19 (Coronavirus)
2021-10-02	Achill Greenway parkrun	Ireland	Ireland	COVID-19 (Coronavirus)
2021-10-09	Achill Greenway parkrun	Ireland	Ireland	COVID-19 (Coronavirus)
2021-09-25	Aggeneys parkrun	Northern Cape	South Africa	COVID-19 (Coronavirus)
2021-10-02	Aggeneys parkrun	Northern Cape	South Africa	COVID-19 (Coronavirus)
2021-10-09	Aggeneys parkrun	Northern Cape	South Africa	COVID-19 (Coronavirus)
2021-09-26	Albert College junior parkrun	Ireland	Ireland	COVID-19 (Coronavirus)
2021-10-03	Albert College junior parkrun	Ireland	Ireland	COVID-19 (Coronavirus)
2021-10-10	Albert College junior parkrun	Ireland	Ireland	COVID-19 (Coronavirus)
2021-09-25	Albert parkrun, Melbourne	Victoria	Australia	Due to current COVID-19 restrictions
2021-10-02	Albert parkrun, Melbourne	Victoria	Australia	Due to current COVID-19 restrictions
2021-09-25	Alberton Ascot parkrun	Victoria	Australia	Due to current COVID-19 restrictions
2021-10-02	Alberton Ascot parkrun	Victoria	Australia	Due to current COVID-19 restrictions
2021-09-25	Alberts Farm parkrun	GP · Greater Joburg	South Africa	COVID-19 (Coronavirus)
2021-10-02	Alberts Farm parkrun	GP · Greater Joburg	South Africa	COVID-19 (Coronavirus)
2021-10-09	Alberts Farm parkrun	GP · Greater Joburg	South Africa	COVID-19 (Coronavirus)
2021-09-25	Albury Wodonga parkrun	New South Wales	Australia	Due to current COVID-19 restrictions
2021-10-02	Albury Wodonga parkrun	New South Wales	Australia	Due to current COVID-19 restrictions
2021-09-26	Alexandra junior parkrun, Oldham	North West England	United Kingdom	Establishing an event team
2021-10-03	Alexandra junior parkrun, Oldham	North West England	United Kingdom	Establishing an event team
2021-10-10	Alexandra junior parkrun, Oldham	North West England	United Kingdom	Establishing an event team
2021-09-25	Aliwal North parkrun	EC · Inland	South Africa	COVID-19 (Coronavirus)
2021-11-06	Ally Pally parkrun	Greater London	United Kingdom	Ally Pally Fireworks - course not available
2021-09-25	Altcourse parkrun	North West England	United Kingdom	COVID-19 (Coronavirus)
2021-10-02	Altcourse parkrun	North West England	United Kingdom	COVID-19 (Coronavirus)
2021-10-09	Altcourse parkrun	North West England	United Kingdom	COVID-19 (Coronavirus)
2021-09-25	Altona Beach parkrun	Victoria	Australia	Due to current COVID-19 restrictions
2021-10-02	Altona Beach parkrun	Victoria	Australia	Due to current COVID-19 restrictions
2021-09-25	Amanzimtoti parkrun	KZN · Coastal	South Africa	COVID-19 (Coronavirus)
2021-10-02	Amanzimtoti parkrun	KZN · Coastal	South Africa	COVID-19 (Coronavirus)
2021-09-25	An Bonnán Buí parkrun	Ireland	Ireland	COVID-19 (Coronavirus)
2021-10-02	An Bonnán Buí parkrun	Ireland	Ireland	COVID-19 (Coronavirus)
2021-10-09	An Bonnán Buí parkrun	Ireland	Ireland	COVID-19 (Coronavirus)
2021-09-25	Anacostia parkrun	USA	United States	COVID-19 (Coronavirus)
2021-10-02	Anacostia parkrun	USA	United States	COVID-19 (Coronavirus)
2021-09-25	Anderson parkrun	North Island	New Zealand	Due to current COVID-19 restrictions
2021-10-02	Anderson parkrun	North Island	New Zealand	COVID-19 (Coronavirus)
2021-09-25	Angrignon parkrun	Canada	Canada	COVID-19 (Coronavirus)
2021-10-02	Angrignon parkrun	Canada	Canada	COVID-19 (Coronavirus)
2021-10-09	Angrignon parkrun	Canada	Canada	COVID-19 (Coronavirus)
2021-09-25	Applecross parkrun	Western Australia	Australia	Footpath is closed as they are being resurfaced.
2021-09-25	Appleton Thorn parkrun	North West England	United Kingdom	COVID-19 (Coronavirus)
2021-10-02	Appleton Thorn parkrun	North West England	United Kingdom	COVID-19 (Coronavirus)
2021-10-09	Appleton Thorn parkrun	North West England	United Kingdom	COVID-19 (Coronavirus)
2021-09-25	Ararat parkrun	Victoria	Australia	Due to current COVID-19 restrictions
2021-10-02	Ararat parkrun	Victoria	Australia	Due to current COVID-19 restrictions
2021-09-25	Armidale parkrun	New South Wales	Australia	Due to current COVID-19 restrictions
2021-10-02	Armidale parkrun	New South Wales	Australia	Due to current COVID-19 restrictions
2021-09-25	Ashburton parkrun	KZN · Inland	South Africa	COVID-19 (Coronavirus)
2021-10-02	Ashburton parkrun	KZN · Inland	South Africa	COVID-19 (Coronavirus)
2021-10-09	Ashburton parkrun	KZN · Inland	South Africa	COVID-19 (Coronavirus)
2021-09-25	Atholl parkrun	GP · Greater Joburg	South Africa	COVID-19 (Coronavirus)
2021-10-02	Atholl parkrun	GP · Greater Joburg	South Africa	COVID-19 (Coronavirus)
2021-10-09	Atholl parkrun	GP · Greater Joburg	South Africa	COVID-19 (Coronavirus)
2021-09-25	Atlasville parkrun	GP · Ekurhuleni	South Africa	COVID-19 (Coronavirus)
2021-10-02	Atlasville parkrun	GP · Ekurhuleni	South Africa	COVID-19 (Coronavirus)
2021-10-09	Atlasville parkrun	GP · Ekurhuleni	South Africa	COVID-19 (Coronavirus)
2021-09-25	Aurora parkrun	Victoria	Australia	Due to current COVID-19 restrictions
2021-10-02	Aurora parkrun	Victoria	Australia	Due to current COVID-19 restrictions
2021-09-26	Avenham Park junior parkrun	North West England	United Kingdom	Run Preston Event - course clashes with ours
2021-09-25	Avery Beach parkrun, Huntsville	Canada	Canada	COVID-19 (Coronavirus)
2021-10-02	Avery Beach parkrun, Huntsville	Canada	Canada	COVID-19 (Coronavirus)
2021-10-09	Avery Beach parkrun, Huntsville	Canada	Canada	COVID-19 (Coronavirus)
2021-09-25	Avondale University College parkrun	New South Wales	Australia	Due to current COVID-19 restrictions
2021-10-02	Avondale University College parkrun	New South Wales	Australia	Due to current COVID-19 restrictions
2021-09-25	Badhusparken parkrun	Sweden	Sweden	COVID-19 (Coronavirus)
2021-10-02	Badhusparken parkrun	Sweden	Sweden	COVID-19 (Coronavirus)
2021-10-09	Badhusparken parkrun	Sweden	Sweden	COVID-19 (Coronavirus)
2021-09-26	Bailey junior parkrun	Wales	United Kingdom	COVID-19 (Coronavirus)
2021-09-25	Bairnsdale parkrun	Victoria	Australia	Due to current COVID-19 restrictions
2021-10-02	Bairnsdale parkrun	Victoria	Australia	Due to current COVID-19 restrictions
2021-09-25	Bakewell parkrun	East Midlands	United Kingdom	Venue not yet available
2021-10-02	Bakewell parkrun	East Midlands	United Kingdom	Venue not yet available
2021-10-09	Bakewell parkrun	East Midlands	United Kingdom	Venue not yet available
2021-09-26	Balbriggan junior parkrun	Ireland	Ireland	COVID-19 (Coronavirus)
2021-10-03	Balbriggan junior parkrun	Ireland	Ireland	COVID-19 (Coronavirus)
2021-10-10	Balbriggan junior parkrun	Ireland	Ireland	COVID-19 (Coronavirus)
2021-09-25	Balclutha parkrun	South Island	New Zealand	Due to current COVID-19 restrictions
2021-10-02	Balclutha parkrun	South Island	New Zealand	COVID-19 (Coronavirus)
2021-09-25	Ballarat parkrun	Victoria	Australia	Due to current COVID-19 restrictions
2021-10-02	Ballarat parkrun	Victoria	Australia	Due to current COVID-19 restrictions
2021-09-25	Ballina Coast parkrun	New South Wales	Australia	Due to current COVID-19 restrictions
2021-10-02	Ballina Coast parkrun	New South Wales	Australia	Due to current COVID-19 restrictions
2021-09-26	Ballina junior parkrun	Ireland	Ireland	COVID-19 (Coronavirus)
2021-10-03	Ballina junior parkrun	Ireland	Ireland	COVID-19 (Coronavirus)
2021-10-10	Ballina junior parkrun	Ireland	Ireland	COVID-19 (Coronavirus)
2021-09-26	Ballincollig Regional junior parkrun	Ireland	Ireland	COVID-19 (Coronavirus)
2021-10-03	Ballincollig Regional junior parkrun	Ireland	Ireland	COVID-19 (Coronavirus)
2021-10-10	Ballincollig Regional junior parkrun	Ireland	Ireland	COVID-19 (Coronavirus)
2021-09-25	Ballito parkrun	KZN · Coastal	South Africa	COVID-19 (Coronavirus)
2021-10-02	Ballito parkrun	KZN · Coastal	South Africa	COVID-19 (Coronavirus)
2021-10-09	Ballito parkrun	KZN · Coastal	South Africa	COVID-19 (Coronavirus)
2021-09-26	Ballyogan junior parkrun	Ireland	Ireland	COVID-19 (Coronavirus)
2021-10-03	Ballyogan junior parkrun	Ireland	Ireland	COVID-19 (Coronavirus)
2021-10-10	Ballyogan junior parkrun	Ireland	Ireland	COVID-19 (Coronavirus)
2021-09-25	Balyang Sanctuary parkrun	Victoria	Australia	Due to current COVID-19 restrictions
2021-10-02	Balyang Sanctuary parkrun	Victoria	Australia	Due to current COVID-19 restrictions
2021-09-25	Bambra Bolinda parkrun	Victoria	Australia	Due to current COVID-19 restrictions
2021-10-02	Bambra Bolinda parkrun	Victoria	Australia	Due to current COVID-19 restrictions
2021-09-25	Bannockburn Bush parkrun	Victoria	Australia	Due to current COVID-19 restrictions
2021-10-02	Bannockburn Bush parkrun	Victoria	Australia	Due to current COVID-19 restrictions
2021-10-03	Barnstaple junior parkrun	South West England	United Kingdom	All 4 run directors are unavailable
2021-12-25	Barnstaple parkrun	South West England	United Kingdom	Christmas Day - Time to be with family
2021-09-25	Barry Curtis parkrun	North Island	New Zealand	Due to current COVID-19 restrictions
2021-10-02	Barry Curtis parkrun	North Island	New Zealand	COVID-19 (Coronavirus)
2021-09-26	Barshaw junior parkrun	Scotland	United Kingdom	Establishing an event team
2021-10-03	Barshaw junior parkrun	Scotland	United Kingdom	Establishing an event team
2021-10-10	Barshaw junior parkrun	Scotland	United Kingdom	Establishing an event team
2021-09-25	Batemans Bay parkrun	New South Wales	Australia	Due to current COVID-19 restrictions
2021-10-02	Batemans Bay parkrun	New South Wales	Australia	Due to current COVID-19 restrictions
2021-09-25	Bathurst parkrun	New South Wales	Australia	Due to current COVID-19 restrictions
2021-10-02	Bathurst parkrun	New South Wales	Australia	Due to current COVID-19 restrictions
