Event	Country	Cancellation Note	Website
Albert parkrun, Melbourne	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/albertmelbourne
Alberton Ascot parkrun	Australia	Due to current COVID-19 restrictions	
Albury Wodonga parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/alburywodonga
Altona Beach parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/altonabeach
Ararat parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/ararat
Armidale parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/armidale
Aurora parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/aurora
Avondale University College parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/avondaleuniversitycollege
Bairnsdale parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/bairnsdale
Ballarat parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/ballarat
Ballina Coast parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/ballinacoast
Balyang Sanctuary parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/balyangsanctuary
Bambra Bolinda parkrun	Australia	Due to current COVID-19 restrictions	
Bannockburn Bush parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/bannockburnbush
Batemans Bay parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/batemansbay
Bathurst parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/bathurst
Bega parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/bega
Benalla Botanical Gardens parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/benallabotanicalgardens
Bendigo Botanic Gardens parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/bendigobotanicgardens
Berwick Springs parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/berwicksprings
Berwick Waters parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/berwickwaters
Bill Rose Sports Complex parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/billrosesportscomplex
Birdsland Reserve parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/birdslandreserve
Blackbutt parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/blackbutt
Blue Gum Hills parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/bluegumhills
Bourke Racecourse parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/bourkeracecourse
