Event	Country	Cancellation Note	Website	Added or Removed
Anderson parkrun	New Zealand	Due to current COVID-19 restrictions	https://www.parkrun.co.nz/anderson	Added
Ararat parkrun	Australia	Request to cancel all community sport.	https://www.parkrun.com.au/ararat	Added
Balclutha parkrun	New Zealand	Due to current COVID-19 restrictions	https://www.parkrun.co.nz/balclutha	Added
Ballarat parkrun	Australia	due to Covid	https://www.parkrun.com.au/ballarat	Added
Bendigo Botanic Gardens parkrun	Australia	COVID restrictions	https://www.parkrun.com.au/bendigobotanicgardens	Added
Blenheim parkrun	New Zealand	Due to current COVID-19 restrictions	https://www.parkrun.co.nz/blenheim	Added
Bright parkrun	Australia	Responsible Safety precautions Covid associated.	https://www.parkrun.com.au/bright	Added
Cambridge NZ parkrun	New Zealand	Due to current COVID-19 restrictions	https://www.parkrun.co.nz/cambridgenz	Added
Campaspe parkrun	Australia	COVID-19 - Govt request to cancel sport/events	https://www.parkrun.com.au/campaspe	Added
Castlemaine parkrun	Australia	Victorian covid-19 restrictions	https://www.parkrun.com.au/castlemaine	Added
Cobram parkrun	Australia	COVID outbreak in area	https://www.parkrun.com.au/cobram	Added
Cohuna parkrun	Australia	Covid safety concerns	https://www.parkrun.com.au/cohuna	Added
Dunedin parkrun	New Zealand	Due to current COVID-19 restrictions	https://www.parkrun.co.nz/dunedin	Added
East End parkrun, New Plymouth	New Zealand	COVID	https://www.parkrun.co.nz/eastend	Removed
East End parkrun, New Plymouth	New Zealand	Due to current COVID-19 restrictions	https://www.parkrun.co.nz/eastend	Added
Echuca Moama parkrun	Australia	Covid safety concerns	https://www.parkrun.com.au/echucamoama	Added
Euroa parkrun	Australia	Covid	https://www.parkrun.com.au/euroa	Added
Flaxmere parkrun	New Zealand	Due to current COVID-19 restrictions	https://www.parkrun.co.nz/flaxmere	Added
Foster parkrun	New Zealand	Due to current COVID-19 restrictions	https://www.parkrun.co.nz/foster	Added
Gisborne parkrun	New Zealand	Due to current COVID-19 restrictions	https://www.parkrun.co.nz/gisborne	Added
Greytown Woodside Trail parkrun	New Zealand	Due to current COVID-19 restrictions	https://www.parkrun.co.nz/greytownwoodsidetrail	Added
Greytown Woodside Trail parkrun	New Zealand	due to Covid19 Level 4 restrictions	https://www.parkrun.co.nz/greytownwoodsidetrail	Removed
Hagley parkrun	New Zealand	Due to current COVID-19 restrictions	https://www.parkrun.co.nz/hagley	Added
Hamilton Lake parkrun	New Zealand	Due to current COVID-19 restrictions	https://www.parkrun.co.nz/hamiltonlake	Added
Hondajima parkrun	Japan	降雨によるコース不良等が予想されるため	https://www.parkrun.jp/hondajima	Added
Invercargill parkrun	New Zealand	Due to current COVID-19 restrictions	https://www.parkrun.co.nz/invercargill	Added
Kapiti Coast parkrun	New Zealand	Covid19 level 4 lockdown	https://www.parkrun.co.nz/kapiticoast	Removed
Kapiti Coast parkrun	New Zealand	Due to current COVID-19 restrictions	https://www.parkrun.co.nz/kapiticoast	Added
Kennington Reservoir parkrun	Australia	regional covid case in close by town public safety	https://www.parkrun.com.au/kenningtonreservoir	Added
Lower Hutt parkrun	New Zealand	Due to current COVID-19 restrictions	https://www.parkrun.co.nz/lowerhutt	Added
Mildura Weir parkrun	Australia	Covid Restrictions	https://www.parkrun.com.au/milduraweir	Added
