Event	Country	Previous Cancellation Note	Website
Albert parkrun, Melbourne	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/albertmelbourne
Alberton Ascot parkrun	Australia	Due to current COVID-19 restrictions
Albury Wodonga parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/alburywodonga
Altona Beach parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/altonabeach
Amanzimtoti parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/amanzimtoti
Anacostia parkrun	United States	COVID-19 (Coronavirus)	https://www.parkrun.us/anacostia
Anderson parkrun	New Zealand	COVID-19 (Coronavirus)	https://www.parkrun.co.nz/anderson
Applecross parkrun	Australia	Footpath is closed as they are being resurfaced.	https://www.parkrun.com.au/applecross
Ararat parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/ararat
Armidale parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/armidale
Aurora parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/aurora
Avondale University College parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/avondaleuniversitycollege
Bairnsdale parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/bairnsdale
Balclutha parkrun	New Zealand	COVID-19 (Coronavirus)	https://www.parkrun.co.nz/balclutha
Ballarat parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/ballarat
Ballina Coast parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/ballinacoast
Balyang Sanctuary parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/balyangsanctuary
Bambra Bolinda parkrun	Australia	Due to current COVID-19 restrictions
Bannockburn Bush parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/bannockburnbush
Barnstaple junior parkrun	United Kingdom	All 4 run directors are unavailable	https://www.parkrun.org.uk/barnstaple-juniors
Barry Curtis parkrun	New Zealand	COVID-19 (Coronavirus)	https://www.parkrun.co.nz/barrycurtis
Batemans Bay parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/batemansbay
Bathurst parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/bathurst
Beach Strip parkrun	Canada	COVID-19 (Coronavirus)	https://www.parkrun.ca/beachstrip
Bega parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/bega
Belfast Victoria junior parkrun	United Kingdom	Another event taking place	https://www.parkrun.org.uk/belfastvictoria-juniors
Bellevue Park junior parkrun	Australia	School hols - not enough register volunteers	https://www.parkrun.com.au/bellevuepark-juniors
