County	parkrunning	junior parkrunning	5k Cancellations	junior Cancellations	Total	5k Events Running	junior Events Running	5k Events Cancelled	junior Events Cancelled
Carlow			1		1			Carlow Town|	
Cavan			3	1	4			Cootehill|Deerpark Forest|Con Smith|	Crosserlough juniors|
Clare			4		4			Clarisford|Lees Road|Vandeleur|Illaunmanagh|	
Cork			9	2	11			Clonakilty|Castle Demense|Bere Island|Glengarriff|Castlehaven|Ballincollig|Glen River|Mallow Castle|Pobalscoil na Tríonóide|	Cobh juniors|Ballincollig Regional juniors|
Donegal			5		5			Letterkenny|Falcarragh|Dungloe|Buncrana|Narin Beach|	
Dublin			23	13	36			Malahide|Marlay|Griffeen|St Anne’s|Ardgillan|Tymon|Waterstown|Poppintree|Hartstown|Shanganagh|Cabinteely|Father Collins|Donabate|Porterstown|River Valley|Bushy, Dublin|Fairview|Corkagh|Poolbeg|Darndale|Tolka Valley|Brickfields|Tyrrelstown|	Rush juniors|Albert College juniors|St Anne’s juniors|Balbriggan juniors|Deerpark juniors|Marlay juniors|Holywell juniors|Griffeen juniors|Malahide Castle juniors|Ballyogan juniors|Rockfield juniors|Cherry Orchard juniors|Ringsend juniors|
Galway			6	1	7			Knocknacarra|Oranmore|Oughterard|Portumna|Clonbur Woods|Coole|	Oranmore juniors|
Kerry			4	1	5			Tralee|Listowel|Inch Beach|Killarney House|	Tralee juniors|
Kildare			3		3			Naas|Castletown|Royal Canal, Kilcock|	
Kilkenny			1		1			Kilkenny|	
Laois			1	1	2			Vicarstown|	Vicarstown juniors|
Limerick			3	1	4			Limerick|Newcastle West|Mungret|	Shelbourne juniors|
Longford			1	1	2			Longford|	Longford juniors|
Louth			1		1			Dundalk|	
Mayo			6	2	8			Westport|Castlebar|Ballina|Erris|Claremorris|Achill Greenway|	Ballina juniors|Lough Lannagh juniors|
Meath			4		4			Navan|Oldbridge|Deerpark, Carlanstown|Porch Field|	
Monaghan			2		2			Castleblayney|Monaghan Town|	
Offaly			2		2			Mountlucas|The Grand Canal Way|	
Roscommon			3		3			Lough Key|Castlerea|Strokestown|	
Sligo			1		1			Sligo|	
Tipperary			4	1	5			Templemore|Clonmel|Knockanacree Woods|Borrisokane Town|	Burgess juniors, County Tipperary|
Waterford			2		2			Tramore|Waterford Nature|	
Westmeath			2		2			Athlone|Mullingar|	
Wexford			3	1	4			Wexford Racecourse|New Ross|Gorey|	Heritage Park juniors|
Wicklow			3	2	5			Russborough|Tullow|Avondale Forest|	Bray juniors|Arklow Duck Pond juniors|
Total			97	27	124
