Country	parkrunning	junior parkrunning	5k Cancellations	junior Cancellations	Total
Australia	192	1	217	5	415
Austria					
Canada	8		36		44
Denmark	8				8
Eswatini			1		1
Finland	2		1		3
France	8				8
Germany	20		24		44
Ireland			97	27	124
Italy	5		13		18
Japan	12		13		25
Malaysia			3		3
Namibia			4		4
Netherlands	4		7		11
New Zealand	34				34
Norway	2		4		6
Poland	76		3		79
Russia	67		36		103
Singapore			4		4
South Africa	24		190		214
Sweden	4		7		11
United Kingdom	543	274	147	75	1039
USA	37		11		48
Total	1046	275	818	107	2246
