Event	Latitude	Longitude	Country	Status	DateCancelled	ReasonCancelled	Website
Aachener Weiher parkrun	50.934298	6.927553	Germany	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.com.de/aachenerweiher
Aberbeeg parkrun	51.711165	-3.144286	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/aberbeeg
Aberdare parkrun	51.718796	-3.460089	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/aberdare
Aberdeen parkrun	57.173898	-2.086256	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/aberdeen
Aberystwyth junior parkrun	52.412885	-4.078402	United Kingdom	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/aberystwyth-juniors
Aberystwyth parkrun	52.414546	-4.080401	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/aberystwyth
Abingdon parkrun	51.667957	-1.277429	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/abingdon
Achill Greenway parkrun	53.935862	-9.915749	Ireland	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ie/achillgreenway
Acton junior parkrun	51.507905	-0.258062	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/acton-juniors
Adrenalin Addo parkrun	-33.473983	25.601965	South Africa	parkrunning			https://www.parkrun.co.za/adrenalinaddo
Aggeneys parkrun	-29.200132	18.839253	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/aggeneys
Agnew parkrun	54.908188	-5.0349	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/agnew
Airlie Beach parkrun	-20.267153	148.711122	Australia	parkrunning			https://www.parkrun.com.au/airliebeach
Albert College junior parkrun	53.38333	-6.261935	Ireland	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.ie/albertcollege-juniors
Albert parkrun, Melbourne	-37.843521	144.96312	Australia	5k Cancellation	2021-06-12	COVID restrictions	https://www.parkrun.com.au/albertmelbourne
Albert parkrun, Middlesbrough	54.564972	-1.231788	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/albert
Alberts Farm parkrun	-26.161115	27.968273	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/albertsfarm
Albury Wodonga parkrun	-36.0873	146.88886	Australia	parkrunning			https://www.parkrun.com.au/alburywodonga
Aldenham parkrun	51.647953	-0.316507	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/aldenham
Alderford Lake parkrun	52.953181	-2.675436	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/alderfordlake
Alderman Kneeshaw junior parkrun	53.769454	-0.262291	United Kingdom	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/aldermankneeshaw-juniors
Aldinga Beach parkrun	-35.287768	138.444983	Australia	parkrunning			https://www.parkrun.com.au/aldingabeach
Alexandra junior parkrun, Moss Side	53.450725	-2.248631	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/alexandramossside-juniors
Alexandra junior parkrun, Oldham	53.533022	-2.104298	United Kingdom	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/alexandra-juniors
Alexandra parkrun, Moss Side	53.450142	-2.248827	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/alexandra
Alice Campus parkrun, University of Fort Hare	-32.788121	26.848026	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/alicecampus
Alice Holt parkrun	51.168607	-0.83814	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/aliceholt
Aliwal North parkrun	-30.682118	26.727413	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/aliwalnorth
Ally Pally parkrun	51.595936	-0.12233	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/allypally
Alness parkrun	57.694306	-4.256669	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/alness
