County	Country	parkrunning	junior parkrunning	5k Cancellations	junior Cancellations	Total	Events
Aberdeen City	Scotland			2	1	3	['Aberdeen parkrun', 'Duthie junior parkrun', 'Hazlehead parkrun, Aberdeen']
Aberdeenshire	Scotland			4		4	['Stonehaven parkrun', 'Ellon parkrun', 'Crathes Castle parkrun', 'Ury Riverside parkrun']
Angus	Scotland			1		1	['Montrose parkrun']
Antrim and Newtownabbey	Northern Ireland	3	1			4	['Jordanstown junior parkrun', 'Antrim parkrun', 'Valley parkrun, Newtownabbey', 'Sixmilewater parkrun']
Ards and North Down	Northern Ireland	3	2			5	['Comber junior parkrun', 'Bangor parkrun, Northern Ireland', 'Comber parkrun', 'Bangor junior parkrun', 'Crawfordsburn Country parkrun']
Argyll and Bute	Scotland			2		2	['Ganavan Sands parkrun', 'Mount Stuart parkrun']
Armagh City Banbridge and Craigavon	Northern Ireland	2	1			3	['Citypark parkrun, Craigavon', 'Armagh parkrun', 'Lurgan junior parkrun']
Bedfordshire	England	6	3		1	10	['Luton Wardown parkrun', 'Houghton Hall junior parkrun', 'Bedford junior parkrun', 'Bedford parkrun', 'Leighton Buzzard junior parkrun', 'Houghton Hall parkrun', 'Great Denham parkrun', 'Wardown junior parkrun', 'Dunstable Downs parkrun', 'Millennium Country parkrun, Forest of Marston Vale']
Belfast	Northern Ireland	8	3	1	1	13	"['Belfast Victoria junior parkrun', 'Waterworks parkrun, Belfast', 'Belfast Victoria parkrun', ""Queen's parkrun, Belfast"", 'Falls parkrun, Belfast', 'Ormeau parkrun', 'Stormont parkrun', 'Colin Glen parkrun', 'Waterworks junior parkrun', 'Ormeau junior parkrun', 'Orangefield parkrun', 'Musgrave junior parkrun', 'Stranmillis College parkrun']"
Berkshire	England	7	4	3		14	['Reading parkrun', 'Newbury parkrun', 'Bracknell parkrun', 'Woodley parkrun', 'Upton Court parkrun', 'Bracknell junior parkrun', 'Woodley junior parkrun', 'Maidenhead parkrun', 'Prospect parkrun', 'Ockwells junior parkrun', 'Dinton Pastures parkrun', 'California Country parkrun', 'Salt Hill junior parkrun', 'Sandhurst Memorial parkrun']
Bristol	England	1	3			4	['Eastville junior parkrun', 'Eastville parkrun', 'Kings Weston junior parkrun', 'Windmill Hill junior parkrun']
Buckinghamshire	England	8	4	1	1	14	['Black Park parkrun', 'Milton Keynes parkrun', 'Wycombe Rye junior parkrun', 'Wycombe Rye parkrun', 'Linford Wood parkrun', 'Aylesbury parkrun', 'Buckingham parkrun', 'Milton Keynes junior parkrun', 'Aylesbury junior parkrun', 'Buckingham junior parkrun', 'Rushmere parkrun', 'Higginson parkrun, Marlow', 'Wendover Woods parkrun', 'Lakes junior parkrun']
Cambridgeshire	England	9	7	2	2	20	"['Central Park junior parkrun', 'Cambridge parkrun', 'Jubilee junior parkrun', 'Ferry Meadows parkrun', 'Wimpole Estate parkrun', 'Huntingdon parkrun', 'Cambridge junior parkrun', 'Wimpole Estate junior parkrun', 'March parkrun', 'Wisbech junior parkrun', 'Pocket parkrun', 'Littleport parkrun', 'Manor Field parkrun, Whittlesey', ""Coldham's Common parkrun"", 'Riverside junior parkrun, St Neots', ""Coldham's Common junior parkrun"", 'Soham Village College parkrun', 'Fulbourn Hospital parkrun', 'West End junior parkrun', 'Cambourne junior parkrun']"
Causeway Coast and Glens	Northern Ireland	2	2			4	['Portrush parkrun', 'Limavady parkrun', 'Portrush junior parkrun', 'Riverside junior parkrun, Ballymoney']
Cheshire	England	11	8	1	2	22	['Phoenix parkrun', 'Widnes junior parkrun', 'Warrington parkrun', 'Congleton parkrun', 'Chester parkrun', 'Delamere parkrun', 'Lyme Park parkrun', 'Ellesmere Port parkrun', 'Widnes parkrun', 'Wilmslow parkrun', 'Wilmslow junior parkrun', 'Warrington junior parkrun', 'Northwich junior parkrun', 'Crewe parkrun', 'Macclesfield parkrun', 'Northwich parkrun', 'Victoria junior parkrun, Macclesfield', 'The Wirral Way junior parkrun, Parkgate', 'Phoenix junior parkrun', 'Gardenhurst Estate junior parkrun', 'Queens Park junior parkrun, Crewe', 'Castle Park junior parkrun']
Clwyd	Wales			5	3	8	['Conwy parkrun', 'Wepre parkrun', 'Erddig parkrun', 'Alyn Waters junior parkrun', 'Prestatyn Prom junior parkrun', 'Conwy Nature Reserve junior parkrun', 'Nova Prestatyn parkrun', 'Greenfield Valley parkrun']
